ID;Authors;Institution;Type of Institution;Country;Type of Study
SCP0156;Samuel Phiri;Duke University;Academy;United States;Primary Study
SCP0156;Tianyi Chen;Duke University;Academy;United States;Primary Study
SCP0157;Andriy Miranskyy;Ryerson University;Academy;Canada;Primary Study
SCP0157;Jean Paul Latyr Faye;CMC Microsystems;Industry;Canada;Primary Study
SCP0157;Mushahid Khan;Ryerson University;Academy;Canada;Primary Study
SCP0157;Udson C. Mendes;CMC Microsystems;Industry;Canada;Primary Study
SCP0158;Andrea De Lucia;University of Salerno;Academy;Italy;Primary Study
SCP0158;Dario Di Nucci;University of Salerno;Academy;Italy;Primary Study
SCP0158;Davide Taibi;Tampere University;Academy;Finland;Primary Study
SCP0158;Fabio Palomba;University of Salerno;Academy;Italy;Primary Study
SCP0158;Manuel De Stefano;University of Salerno;Academy;Italy;Primary Study
SCP0161;Jianjun Zhao;Kyushu University;Academy;Japan;Primary Study
SCP0161;Lei Ma;Kyushu University;Academy;Japan;Primary Study
SCP0161;Pengzhan Zhao;Kyushu University;Academy;Japan;Primary Study
SCP0167;Adrian Cobb;Deakin University;Academy;Australia;Primary Study
SCP0167;Jean-Guy Schneider;Deakin University;Academy;Australia;Primary Study
SCP0167;Kevin Lee;Deakin University;Academy;Australia;Primary Study
SCP0169;Shaukat Ali;Simula Research Laboratory;Government;Norway;Primary Study
SCP0169;Tao Yue;Simula Research Laboratory;Government;Norway;Primary Study
SCP0172;Antonio Garmendia;Johannes Kepler University Linz;Academy;Austria;Primary Study
SCP0172;Antonio Garmendia;Universidad Autonoma de Madrid;Academy;Spain;Primary Study
SCP0172;Felix Gemeinhardt;Johannes Kepler University Linz;Academy;Austria;Primary Study
SCP0172;Manuel Wimmer;Johannes Kepler University Linz;Academy;Austria;Primary Study
SCP0172;Robert Wille;Technical University of Munich;Academy;Germany;Primary Study
SCP0174;Florian Knable;Fraunhofer Institute for Industrial Engineering IAO;Academy;Germany;Primary Study
SCP0174;Jonas Klamroth;FZI Research Center for Information Technology;Nonprofit Organization;Germany;Primary Study
SCP0174;Max Scheerer;FZI Research Center for Information Technology;Nonprofit Organization;Germany;Primary Study
SCP0174;Oliver Denninger;FZI Research Center for Information Technology;Nonprofit Organization;Germany;Primary Study
SCP0174;Simon Garhofer;University of Tübingen;Academy;Germany;Primary Study
SCP0179;Carlos Canal;Universidad de Málaga;Academy;Spain;Primary Study
SCP0179;Enrique Moguel;University of Extremadura;Academy;Spain;Primary Study
SCP0179;Javier Zayas Gallardo;Universidad de Málaga;Academy;Spain;Primary Study
SCP0179;Jose Garcia-Alonso;University of Extremadura;Academy;Spain;Primary Study
SCP0180;Alon Tsalik Shmilovich;The Jerusalem College of Engineering;Academy;Israel;Primary Study
SCP0180;Iaakov Exman;The Jerusalem College of Engineering;Academy;Israel;Primary Study
SCP0183;Mariia Mykhailova;Microsoft Quantum;Industry;United States;Primary Study
SCP0183;Mathias Soeken;Microsoft Quantum;Industry;United States;Primary Study
SCP0184;Antonio Garmendia;Johannes Kepler University Linz;Academy;Austria;Primary Study
SCP0184;Felix Gemeinhardt;Johannes Kepler University Linz;Academy;Austria;Primary Study
SCP0184;Manuel Wimmer;Johannes Kepler University Linz;Academy;Austria;Primary Study
SCP0186;Andrés D. Muñoz-Moller;University of Jyväskylä;Academy;Finland;Primary Study
SCP0186;Otso Kinanen;University of Jyväskylä;Academy;Finland;Primary Study
SCP0186;Tommi Mikkonen;University of Jyväskylä;Academy;Finland;Primary Study
SCP0186;Vlad Stirbu;University of Jyväskylä;Academy;Finland;Primary Study
SCP0190;Tommi Mikkonen;University of Jyväskylä;Academy;Finland;Primary Study
SCP0190;Vlad Stirbu;University of Jyväskylä;Academy;Finland;Primary Study
SCP0195;Diego Alvarez-Estevez;Universidade da Coruña;Academy;Spain;Primary Study
SCP0195;Eduardo Mosqueira-Rey;Universidade da Coruña;Academy;Spain;Primary Study
SCP0195;Samuel Magaz-Romero;Universidade da Coruña;Academy;Spain;Primary Study
SCP0195;Vicente Moret-Bonillo;Universidade da Coruña;Academy;Spain;Primary Study
SCP0197;Joao F. Ferreira;University of Lisbon;Academy;Portugal;Primary Study
SCP0197;Miguel Trinca;University of Lisbon;Academy;Portugal;Primary Study
SCP0197;Rui Abreu;University of Porto;Academy;Portugal;Primary Study
SCP0199;Robert J. Hall;﻿AT&T Labs Research;Industry;United States;Primary Study
SCP0200;Rui Abreu;University of Porto;Academy;Portugal;Primary Study
SCP0200;Shaukat Ali;Simula Research Laboratory;Government;Norway;Primary Study
SCP0200;Tao Yue;Simula Research Laboratory;Government;Norway;Primary Study
SCP0202;Andriy Miranskyy;Ryerson University;Academy;Canada;Primary Study
SCP0202;Javad Doliskani;Ryerson University;Academy;Canada;Primary Study
SCP0202;Lei Zhang;Ryerson University;Academy;Canada;Primary Study
SCP0221;Andrew Van Horn;Duke University;Academy;United States;Primary Study
SCP0221;Brad Bondurant;Duke University;Academy;United States;Primary Study
SCP0221;Chao Fang;Duke University;Academy;United States;Primary Study
SCP0221;Jacob Whitlow;Duke University;Academy;United States;Primary Study
SCP0221;Jungsang Kim;Duke University;Academy;United States;Primary Study
SCP0221;Junki Kim;Sungkyunkwan University;Academy;South Korea;Primary Study
SCP0221;Kenneth R. Brown;Duke University;Academy;United States;Primary Study
SCP0221;Leon Riesebos;Duke University;Academy;United States;Primary Study
SCP0221;Mark Kuzyk;Duke University;Academy;United States;Primary Study
SCP0221;Samuel Phiri;Duke University;Academy;United States;Primary Study
SCP0221;Tianyi Chen;Duke University;Academy;United States;Primary Study
SCP0221;Ye Wang;Duke University;Academy;United States;Primary Study
SCP0225;Ana Díaz Muñoz;AQCLab Software Quality;Industry;Spain;Primary Study
SCP0225;Ana Díaz Muñoz;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0225;Mario Gerardo Piattini Velthuis;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0225;Moisés Rodríguez Monje;AQCLab Software Quality;Industry;Spain;Primary Study
SCP0225;Moisés Rodríguez Monje;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0228;Mingsheng Ying;University of Technology Sydney;Academy;Australia;Primary Study
SCP0228;Mingsheng Ying;Chinese Academy of Sciences;Academy;China;Primary Study
SCP0228;Mingsheng Ying;Tsinghua University;Academy;China;Primary Study
SCP0230;Andriy Miranskyy;Toronto Metropolitan University;Academy;Canada;Primary Study
SCP0230;Greg Stager;IBM;Industry;Canada;Primary Study
SCP0230;John Peck;IBM;Industry;United States;Primary Study
SCP0230;Lei Zhang;Toronto Metropolitan University;Academy;Canada;Primary Study
SCP0230;Michael Gray;IBM;Industry;Australia;Primary Study
SCP0230;Walid Rjaibi;IBM;Industry;Canada;Primary Study
SCP0240;Jianjun Zhao;Kyushu University;Academy;Japan;Primary Study
SCP0245;Rodney Van Meter;Keio University;Academy;Japan;Primary Study
SCP0245;Rodney Van Meter;Keio University;Academy;Japan;Primary Study
SCP0245;Rodney Van Meter;Keio University;Academy;Japan;Primary Study
SCP0245;Sara Ayman Metwalli;Keio University;Academy;Japan;Primary Study
SCP0245;Sara Ayman Metwalli;Keio University;Academy;Japan;Primary Study
SCP0251;Benjamin Weder;University of Stuttgart;Academy;Germany;Primary Study
SCP0251;Frank Leymann;University of Stuttgart;Academy;Germany;Primary Study
SCP0251;Johanna Barzen;University of Stuttgart;Academy;Germany;Primary Study
SCP0251;Michael Zimmermann;University of Stuttgart;Academy;Germany;Primary Study
SCP0256;Luis Jiménez-Navajas;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0256;Mario Piattini;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0256;Ricardo Pérez-Castillo;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0259;Alfred V. Aho;Columbia University;Academy;United States;Primary Study
SCP0259;Andrew W. Cross;Massachusetts Institute of Technology;Academy;United States;Primary Study
SCP0259;Andrew W. Cross;MIT Media Lab;Academy;United States;Primary Study
SCP0259;Igor L. Markov;University of Michigan;Academy;United States;Primary Study
SCP0259;Isaac Chuang;Massachusetts Institute of Technology;Academy;United States;Primary Study
SCP0259;Isaac Chuang;MIT Media Lab;Academy;United States;Primary Study
SCP0259;Krysta M. Svore;Columbia University;Academy;United States;Primary Study
SCP0260;Florian Krebs;JOANNEUM RESEARCH;Industry;Austria;Primary Study
SCP0260;Hermann Fürntratt;JOANNEUM RESEARCH;Industry;Austria;Primary Study
SCP0260;Herwig Zeiner;JOANNEUM RESEARCH;Industry;Austria;Primary Study
SCP0260;Paul Schnabl;University of Technology Graz;Academy;Austria;Primary Study
SCP0260;Roland Unterberger;JOANNEUM RESEARCH;Industry;Austria;Primary Study
SCP0261;Luis Jiménez-Navajas;aQuantum;Industry;Spain;Primary Study
SCP0261;Luis Jiménez-Navajas;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0261;Mario Piattini;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0261;Ricardo Pérez-Castillo  ;aQuantum;Industry;Spain;Primary Study
SCP0261;Ricardo Pérez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0264;Juan M. Murillo;University of Seville;Academy;Spain;Primary Study
SCP0272;A.G. Reshetnikov;Dubna University;Academy;Russia;Primary Study
SCP0272;S.V. Ulyanov;Dubna University;Academy;Russia;Primary Study
SCP0272;V.V. Korenkov;Dubna University;Academy;Russia;Primary Study
SCP0279;Arif Ali Khan;University of Oulu;Academy;Finland;Primary Study
SCP0279;Mahmood Niazi;King Fahd University of Petroleum and Minerals;Academy;Saudi Arabia;Primary Study
SCP0279;Mahmood Niazi;King Fahd University of Petroleum and Minerals;Academy;Saudi Arabia;Primary Study
SCP0279;Marko Paavola;VTT Technical Research Centre of Finland;Industry;Finland;Primary Study
SCP0279;Mohammed Naif Alatawi;University of Tabuk;Academy;Saudi Arabia;Primary Study
SCP0279;Muhammad Azeem Akbar;Lappeenranta-Lahti University of Technology;Academy;Finland;Primary Study
SCP0279;Shoayee Dlaim Alotaibi;University of Hail;Academy;Saudi Arabia;Primary Study
SCP0279;Valtteri Lahtinen;Quanscient;Industry;Finland;Primary Study
SCP0282;Abdullah Alharbi;Taif University;Academy;Saudi Arabia;Primary Study
SCP0282;Dhirendra Pandey;Babasaheb Bhimrao Ambedkar University;Academy;India;Primary Study
SCP0282;Hashem Alyami;Taif University;Academy;Saudi Arabia;Primary Study
SCP0282;Md Tarique Jamal Ansari;Babasaheb Bhimrao Ambedkar University;Academy;India;Primary Study
SCP0282;Mohd Nadeem;Babasaheb Bhimrao Ambedkar University;Academy;India;Primary Study
SCP0282;Raees Ahmad Khan;Babasaheb Bhimrao Ambedkar University;Academy;India;Primary Study
SCP0282;Rajeev Kumar;Babu Banarasi Das University;Academy;India;Primary Study
SCP0282;Wael Alosaimi;Taif University;Academy;Saudi Arabia;Primary Study
SCP0284;A.B. Mutiara;Gunadarma University;Academy;Indonesia;Primary Study
SCP0284;J.S.K. Karamoy;Gunadarma University;Academy;Indonesia;Primary Study
SCP0284;R. Refianti;Gunadarma University;Academy;Indonesia;Primary Study
SCP0287;Mario Piattini;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0287;Ricardo Pérez-Castillo;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0287;Samuel Sepúlveda;Universidad de La Frontera;Academy;Chile;Primary Study
SCP0296;Alexander Küchler;Fraunhofer AISEC;Academy;Germany;Primary Study
SCP0296;Christian Banse;Fraunhofer AISEC;Academy;Germany;Primary Study
SCP0296;Maximilian Kaul;Fraunhofer AISEC;Academy;Germany;Primary Study
SCP0300;Alberto Krone-Martins;University of California;Academy;United States;Primary Study
SCP0300;Cristina V. Lopes;University of California;Academy;United States;Primary Study
SCP0300;Samyak Jhaveri;University of California;Academy;United States;Primary Study
SCP0307;Chao Wang;Shanghai Development Center of Computer Software Technology;Academy;China;Primary Study
SCP0307;JianXin Ge;Shanghai Development Center of Computer Software Technology;Academy;China;Primary Study
SCP0307;Jingwei Chen;Qudoor Technologies Inc.;Industry;China;Primary Study
SCP0307;Le Luo;Sun Yat-Sen University;Academy;China;Primary Study
SCP0307;QianQian Qu;Shanghai Polytechnic University;Academy;China;Primary Study
SCP0307;XueZhong Wu;Shanghai Development Center of Computer Software Technology;Academy;China;Primary Study
SCP0310;Lodovica Marchesi;University of Cagliari;Academy;Italy;Primary Study
SCP0310;Michele Marchesi;Netservice spa;Industry;Italy;Primary Study
SCP0310;Michele Marchesi;University of Cagliari;Academy;Italy;Primary Study
SCP0310;Roberto Tonelli;University of Cagliari;Academy;Italy;Primary Study
SCP0326;Ilie-Daniel Gheorghe-Pop;Fraunhofer Institute for Open Communication Systems;Academy;Germany;Primary Study
SCP0326;Manfred Hauswirth;Fraunhofer Institute for Open Communication Systems;Academy;Germany;Primary Study
SCP0326;Manfred Hauswirth;Technische Universität Berlin;Academy;Germany;Primary Study
SCP0326;Nikolay Tcholtchev;Fraunhofer Institute for Open Communication Systems;Academy;Germany;Primary Study
SCP0326;Tom Ritter;Fraunhofer Institute for Open Communication Systems;Academy;Germany;Primary Study
SCP0342;Asmar Muqeet;Simula Research Laboratory;Government;Norway;Primary Study
SCP0342;Asmar Muqeet;University of Oslo;Academy;Norway;Primary Study
SCP0342;Paolo Arcaini;National Institute of Informatics;Academy;Japan;Primary Study
SCP0342;Shaukat Ali;Oslo Metropolitan University;Academy;Norway;Primary Study
SCP0342;Shaukat Ali;Simula Research Laboratory;Government;Norway;Primary Study
SCP0342;Tao Yue;Simula Research Laboratory;Government;Norway;Primary Study
SCP0342;Xinyi Wang;Simula Research Laboratory;Government;Norway;Primary Study
SCP0342;Xinyi Wang;University of Oslo;Academy;Norway;Primary Study
SCP0343;Julian Hans;University of Lübeck;Academy;Germany;Primary Study
SCP0343;Sven Groppe;University of Lübeck;Academy;Germany;Primary Study
SCP0347;Liudmyla V. Lehka;Krivyi Rih State Pedagogical University;Academy;Ukraine;Primary Study
SCP0347;Svitlana V. Shokaliuk;Krivyi Rih State Pedagogical University;Academy;Ukraine;Primary Study
SCP0350;Enrique Moguel;University of Extremadura;Academy;Spain;Primary Study
SCP0350;Jaime Alvarado-Valiente;University of Extremadura;Academy;Spain;Primary Study
SCP0350;Javier Romero-Álvarez;University of Extremadura;Academy;Spain;Primary Study
SCP0350;José Garcia-Alonso;University of Extremadura;Academy;Spain;Primary Study
SCP0350;Juan M. Murillo;University of Extremadura;Academy;Spain;Primary Study
SCP0353;Evangelia Girousi;University of Macedonia;Academy;Greece;Primary Study
SCP0353;Maria Orfanaki;University of Macedonia;Academy;Greece;Primary Study
SCP0353;Stavros Souravlas;University of Macedonia;Academy;Greece;Primary Study
SCP0354;Alexander J. McCaskey;Oak Ridge National Laboratory;Academy;United States;Primary Study
SCP0354;Thien Nguyen;Oak Ridge National Laboratory;Academy;United States;Primary Study
SCP0355;Álvaro M. Aparicio-Morales;University of Extremadura;Academy;Spain;Primary Study
SCP0355;Javier Berrocal;University of Extremadura;Academy;Spain;Primary Study
SCP0355;Jose Garcia-Alonso;University of Extremadura;Academy;Spain;Primary Study
SCP0355;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0355;Majid Haghparast;University of Jyväskylä;Academy;Finland;Primary Study
SCP0355;Niko Mäkitalo;University of Jyväskylä;Academy;Finland;Primary Study
SCP0355;Tommi Mikkonen;University of Jyväskylä;Academy;Finland;Primary Study
SCP0355;Vlad Stirbu;University of Jyväskylä;Academy;Finland;Primary Study
SCP0357;Alexey Nechaev;The Jerusalem College of Engineering;Academy;Israel;Primary Study
SCP0357;Iaakov Exman;The Jerusalem College of Engineering;Academy;Israel;Primary Study
SCP0369;Alfred Lako;Polytechnic University of Tirana;Academy;Albania;Primary Study
SCP0369;Anibrata Pal;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0369;Danilo Caivano;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0369;Vita Santa Barletta;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0374;Dirk Krucker;Deutsches Elektronen-Synchrotron DESY;Government;Germany;Primary Study
SCP0374;Karl Jansen;Deutsches Elektronen-Synchrotron DESY;Government;Germany;Primary Study
SCP0374;Kerstin Borras;Deutsches Elektronen-Synchrotron DESY;Government;Germany;Primary Study
SCP0374;Matthias Riebisch;Universität Hamburg;Academy;Germany;Primary Study
SCP0374;Tom Weber;Universität Hamburg;Academy;Germany;Primary Study
SCP0387;Andreas Gerndt;German Aerospace Center;Government;Germany;Primary Study
SCP0387;Benjamin Weps;German Aerospace Center;Government;Germany;Primary Study
SCP0387;Benjamin Weps;Jena Optronik GmbH;Industry;Germany;Primary Study
SCP0387;Daniel Lüdtke;German Aerospace Center;Government;Germany;Primary Study
SCP0387;Hauke Müntinga;University of Bremen;Academy;Germany;Primary Study
SCP0387;Olaf Maibaum;German Aerospace Center;Government;Germany;Primary Study
SCP0387;Thijs Wendrich;Leibniz University Hannover;Academy;Germany;Primary Study
SCP0387;Tobias Franz;German Aerospace Center;Government;Germany;Primary Study
SCP0390;Alessandro Pagano;University of Bari;Academy;Italy;Primary Study
SCP0390;Antonio Piccinno;University of Bari;Academy;Italy;Primary Study
SCP0390;Fabio Cassano;University of Bari;Academy;Italy;Primary Study
SCP0390;Mirko De Vincentiis;University of Bari;Academy;Italy;Primary Study
SCP0394;Ahmad Mansrah;Al-Zaytoonah University of Jordan;Academy;Jordan;Primary Study
SCP0394;Ismael Jannoud;Al-Zaytoonah University of Jordan;Academy;Jordan;Primary Study
SCP0394;Mohammad Alia;Al-Zaytoonah University of Jordan;Academy;Jordan;Primary Study
SCP0394;Mohammad Masoud;Al-Zaytoonah University of Jordan;Academy;Jordan;Primary Study
SCP0394;Omar Alheyasat;AlBalqa’ Applied University;Academy;Jordan;Primary Study
SCP0394;Yousef Jaradat;Al-Zaytoonah University of Jordan;Academy;Jordan;Primary Study
SCP0398;Kartik Singhal;University of Chicago;Academy;United States;Primary Study
SCP0398;Kesha Hietala;University of Maryland;Academy;United States;Primary Study
SCP0398;Robert Rand;University of Chicago;Academy;United States;Primary Study
SCP0398;Sarah Marshall;Microsoft Quantum;Industry;United States;Primary Study
SCP0405;Axel Dahlberg;QuTech;Industry;Netherlands;Primary Study
SCP0405;Stephanie Wehner;QuTech;Industry;Netherlands;Primary Study
SCP0414;Anya Tafliovich;University of Toronto  ;Academy;Canada;Primary Study
SCP0414;Eric C. R. Hehner;University of Toronto  ;Academy;Canada;Primary Study
SCP0421;Ahmed Younes;Alexandria University;Academy;Egypt;Primary Study
SCP0421;Ahmed Younes;University of Birmingham;Academy;United Kingdom;Primary Study
SCP0421;Hager Hussein;Arab Academy for Science and Technology;Academy;Egypt;Primary Study
SCP0421;Walid Abdelmoez;Arab Academy for Science and Technology;Academy;Egypt;Primary Study
SCP0482;Christian B. Mendl;University of Munich;Academy;Germany;Primary Study
SCP0482;Corey O'Meara;E.ON Digital Technology GmbH;Industry;Germany;Primary Study
SCP0482;Giorgio Cortiana;E.ON Digital Technology GmbH;Industry;Germany;Primary Study
SCP0482;Juan Bernabe-Moreno;E.ON Digital Technology GmbH;Industry;Germany;Primary Study
SCP0482;Raul Berganza Gomez;E.ON Digital Technology GmbH;Industry;Germany;Primary Study
SCP0485;Fangmin Song;Nanjing University;Academy;China;Primary Study
SCP0485;Fangmin Song;Nanjing University;Academy;China;Primary Study
SCP0485;Nan Wu;Nanjing University;Academy;China;Primary Study
SCP0485;Nan Wu;Nanjing University;Academy;China;Primary Study
SCP0485;Xiangdong Li;City University of New York;Academy;United States;Primary Study
SCP0494;Adrian Winckles;Anglia Ruskin University;Academy;United Kingdom;Primary Study
SCP0494;Domenico Vicinanza;Anglia Ruskin University;Academy;United Kingdom;Primary Study
SCP0494;George Wilson;Anglia Ruskin University;Academy;United Kingdom;Primary Study
SCP0494;James Fitzjohn;Anglia Ruskin University;Academy;United Kingdom;Primary Study
SCP0525;Fuchen Zhu;National Laboratory for Modern Communications;Government;China;Primary Study
SCP0525;Qiaoyan Wen;Beijing University of Posts and Telecommunications;Academy;China;Primary Study
SCP0525;Xiufeng Zhang;Beijing University of Posts and Telecommunications;Academy;China;Primary Study
SCP0609;Paolo Arcaini;National Institute of Informatics;Academy;Japan;Primary Study
SCP0609;Shaukat Ali;Oslo Metropolitan University;Academy;Norway;Primary Study
SCP0609;Shaukat Ali;Simula Research Laboratory;Government;Norway;Primary Study
SCP0609;Tao Yue;Simula Research Laboratory;Government;Norway;Primary Study
SCP0609;Xinyi Wang;Simula Research Laboratory;Government;Norway;Primary Study
SCP0609;Xinyi Wang;University of Oslo;Academy;Norway;Primary Study
SCP0656;Anibrata Pal;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0656;Maria Teresa Baldassarre;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0656;Michele Scalera;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0656;Mirko De Vincentiis;University of Bari Aldo Moro;Academy;Italy;Primary Study
SCP0659;Ahmed Alkhayyat;The Islamic University;Academy;Iraq;Primary Study
SCP0659;Anurag Sinha;Indira Gandhi National Open University;Academy;India;Primary Study
SCP0659;Biresh Kumar;Amity University Jharkhand;Academy;India;Primary Study
SCP0659;Hassan Raza Mahmood;FAST NUCES CFD Campus;Academy;Pakistan;Primary Study
SCP0659;Pooja Jha;Amity University Jharkhand;Academy;India;Primary Study
SCP0659;Preety Shoran;Dr. Akhilesh Das Gupta Institute of Technology and Management;Academy;India;Primary Study
SCP0659;Vandana Sharma;Christ University;Academy;India;Primary Study
SCP0967;Ali Idri;University Mohamed V;Academy;Morocco;Primary Study
SCP0967;Salma El Koutbi;University Mohamed V;Academy;Morocco;Primary Study
SCP0983;Chi-Hsuan Wu;National Pingtung University;Academy;Taiwan;Primary Study
SCP0983;Chia-Ho Ou;National Pingtung University;Academy;Taiwan;Primary Study
SCP0983;Chih-Yu Chen;Chung Yuan Christian University;Academy;Taiwan;Primary Study
SCP0983;Ching-Ray Chang;Chung Yuan Christian University;Academy;Taiwan;Primary Study
SCP0983;Yu-Chen Tsai;National Pingtung University;Academy;Taiwan;Primary Study
SCP0983;Yu-Hong Li;National Pingtung University;Academy;Taiwan;Primary Study
SCP0983;Zhi-You Yan;National Pingtung University;Academy;Taiwan;Primary Study
WOS0011;Jianjun Zhao;Kyushu University;Academy;Japan;Primary Study
WOS0011;Junjie Luo;Kyushu University;Academy;Japan;Primary Study
WOS0011;Pengzhan Zhao;Kyushu University;Academy;Japan;Primary Study
WOS0011;Shuhan Lan;Kyushu University;Academy;Japan;Primary Study
WOS0011;Zhongtao Miao;Kyushu University;Academy;Japan;Primary Study
WOS0017;Mingsheng Ying;University of Technology Sydney;Academy;Australia;Primary Study
WOS0017;Mingsheng Ying;Tsinghua University;Academy;China;Primary Study
WOS0017;Yuan Feng;University of Technology Sydney;Academy;Australia;Primary Study
WOS0017;Yuan Feng;Tsinghua University;Academy;China;Primary Study
WOS0019;M. Ohki;Nippon Institute of Technology;Academy;Japan;Primary Study
WOS0019;Y. Kambayashi;Nippon Institute of Technology;Academy;Japan;Primary Study
WOS0072;Beibei Yin;Beihang University;Academy;China;Primary Study
WOS0072;Hanyu Pei;University of Science and Technology Beijing;Academy;China;Primary Study
WOS0072;Kai-Yuan Cai;Beihang University;Academy;China;Primary Study
WOS0072;Linzhi Huang;Beihang University;Academy;China;Primary Study
WOS0072;Yuechen Li;Beihang University;Academy;China;Primary Study
WOS0121;Ignacio Garcia Rodriguez de Guzman;University of Castilla-La Mancha;Academy;Spain;Primary Study
WOS0121;Maria Teresa Merchan Quintana;University of Castilla-La Mancha;Academy;Spain;Primary Study
WOS0121;Mario Piattini;University of Castilla-La Mancha;Academy;Spain;Primary Study
WOS0121;Moises Rodriguez Monje;University of Castilla-La Mancha;Academy;Spain;Primary Study
WOS0127;Davide Di Ruscio;University of L'Aquila;Academy;Italy;Primary Study
WOS0127;Luca Traini;University of L'Aquila;Academy;Italy;Primary Study
WOS0127;Muhammad Imran;University of L'Aquila;Academy;Italy;Primary Study
WOS0127;Riccardo Rubei;University of L'Aquila;Academy;Italy;Primary Study
WOS0127;Vittorio Cortellessa;University of L'Aquila;Academy;Italy;Primary Study
WOS0157;Paolo Arcaini;National Institute of Informatics;Academy;Japan;Primary Study
WOS0157;Shaukat Ali;Simula Research Laboratory;Government;Norway;Primary Study
WOS0157;Tao Yue;Nanjing University of Aeronautics and Astronautics;Academy;China;Primary Study
WOS0157;Tao Yue;Simula Research Laboratory;Government;Norway;Primary Study
WOS0157;Xinyi Wang;Nanjing University of Aeronautics and Astronautics;Academy;China;Primary Study
WOS0204;Jianjun Zhao;Kyushu University;Academy;Japan;Primary Study
WOS0204;Pengzhan Zhao;Kyushu University;Academy;Japan;Primary Study
WOS0204;Shuhan Lan;Kyushu University;Academy;Japan;Primary Study
WOS0204;Zhongtao Miao;Kyushu University;Academy;Japan;Primary Study
WOS0223;Agustina Arismendi;Universidad de la República;Academy;Uruguay;Primary Study
WOS0223;Sebastian Pombo Mott;Universidad ORT;Academy;Uruguay;Primary Study
WOS0348;Masaomi Yamaguchi;Fujitsu Ltd;Industry;Japan;Primary Study
WOS0348;Nobukazu Yoshioka;National Institute of Informatics;Academy;Japan;Primary Study
WOS0348;Nobukazu Yoshioka;Waseda University;Academy;Japan;Primary Study
WOS0888;Aidan Evans;Yale University;Academy;United States;Primary Study
WOS0888;Robert Rand;University of Chicago;Academy;United States;Primary Study
WOS0888;Robert Soule;Yale University;Academy;United States;Primary Study
WOS0888;Seun Omonije;Yale University;Academy;United States;Primary Study
WOS0916;Asmar Muqeet;Simula Research Laboratory;Government;Norway;Primary Study
WOS0916;Asmar Muqeet;University of Oslo;Academy;Norway;Primary Study
WOS0916;Paolo Arcaini;National Institute of Informatics;Academy;Japan;Primary Study
WOS0916;Shaukat Ali;Oslo Metropolitan University;Academy;Norway;Primary Study
WOS0916;Shaukat Ali;Simula Research Laboratory;Government;Norway;Primary Study
WOS0916;Tao Yue;Simula Research Laboratory;Government;Norway;Primary Study
WOS0956;Enaut Mendiluze;Simula Research Laboratory;Government;Norway;Primary Study
WOS0956;Paolo Arcaini;National Institute of Informatics;Academy;Japan;Primary Study
WOS0956;Shaukat Ali;Simula Research Laboratory;Government;Norway;Primary Study
WOS0956;Tao Yue;Nanjing University of Aeronautics and Astronautics;Academy;China;Primary Study
WOS0956;Tao Yue;Simula Research Laboratory;Government;Norway;Primary Study
WOS1152;Arif Ali Khan;University of Oulu;Academy;Finland;Primary Study
WOS1152;Davide Taibi;University of Oulu;Academy;Finland;Primary Study
WOS1152;Maryam Tavassoli Sabzevari;University of Oulu;Academy;Finland;Primary Study
WOS1152;Matteo Esposito;University of Rome Tor Vergata;Academy;Italy;Primary Study
WOS1153;Guoqing Harry Xu;University of California;Academy;United States;Primary Study
WOS1153;Jiyuan Wang;University of California;Academy;United States;Primary Study
WOS1153;Miryung Kim;University of California;Academy;United States;Primary Study
WOS1153;Qian Zhang;University of California;Academy;United States;Primary Study
WOS1155;Muhammad Kashif;Hamad Bin Khalifa University;Academy;Qatar;Primary Study
WOS1155;Saif Al-Kuwari;Hamad Bin Khalifa University;Academy;Qatar;Primary Study
WOS1192;Badee Salloum;SCASE;Industry;Syria;Primary Study
WOS1192;Badee Salloum;Syrian Virtual University;Academy;Syria;Primary Study
WOS1192;Hadi Salloum;Innopolis University;Academy;Russia;Primary Study
WOS1192;Hadi Salloum;QDeep;Industry;Russia;Primary Study
WOS1192;Manuel Mazzara;Innopolis University;Academy;Russia;Primary Study
WOS1192;Mohamad Nour Shahin;Innopolis University;Academy;Russia;Primary Study
WOS1192;Mohamad Nour Shahin;QDeep;Industry;Russia;Primary Study
