ID;Authors;Institution;Type of Institution;Country;Type of Study
SCP0031;Jose Garcia-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
SCP0031;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0032;Ana Díaz Muñoz  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0032;Danel Arias  ;Universidad de Deusto  ;Academy;Spain;Primary Study
SCP0032;Enrique Moguel  ;University of Extremadura;Academy;Spain;Primary Study
SCP0032;Erik B. Terres-Escudero  ;Universidad de Deusto  ;Academy;Spain;Primary Study
SCP0032;Jesús Ramón Oviedo Lama  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0032;Jose Garcia-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
SCP0032;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0032;Moisés Rodríguez Monje  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0032;Pablo García Bringas  ;Universidad de Deusto  ;Academy;Spain;Primary Study
SCP0033;Corey O'Meara;E.ON Digital Technology GmbH;Industry;Germany  ;Primary Study
SCP0033;Giorgio Cortiana  ;E.ON Digital Technology GmbH;Industry;Germany  ;Primary Study
SCP0033;Juan Bernabé-Moreno  ;University of Granada  ;Academy;Spain;Primary Study
SCP0033;Marina Fernández-Campoamor  ;E.ON Digital Technology GmbH;Industry;Germany  ;Primary Study
SCP0035;Andre Souto  ;Universidade de Lisboa;Academy;Portugal  ;Primary Study
SCP0035;Iftekhar Ahmed  ;University of California;Academy;United States  ;Primary Study
SCP0035;Jose Campos  ;Universidade de Lisboa;Academy;Portugal  ;Primary Study
SCP0035;Jose Campos  ;University of Porto;Academy;Portugal  ;Primary Study
SCP0035;Qihong Chen  ;University of California;Academy;United States  ;Primary Study
SCP0035;Ruben Camara  ;Universidade de Lisboa;Academy;Portugal  ;Primary Study
SCP0038;Luis S. Barbosa  ;INL - International Iberian Nanotechnology Laboratory  ;Academy;Portugal  ;Primary Study
SCP0038;Luis S. Barbosa  ;Universidade do Minho  ;Academy;Portugal  ;Primary Study
SCP0038;Luis S. Barbosa  ;UNU-EGOV - United Nations University  ;Academy;Portugal  ;Primary Study
SCP0039;Enrique Moguel  ;University of Extremadura;Academy;Spain;Primary Study
SCP0039;Javier Berrocal  ;University of Extremadura;Academy;Spain;Primary Study
SCP0039;Jose García-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
SCP0039;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0043;Enrique Moguel  ;University of Extremadura;Academy;Spain;Primary Study
SCP0043;Jose Garcia-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
SCP0043;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0043;Majid Haghparast  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0043;Tommi Mikkonen  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0044;Jianjun Zhao  ;Kyushu University;Academy;Japan  ;Primary Study
SCP0044;Tiancheng Jin  ;Kyushu University;Academy;Japan  ;Primary Study
SCP0046;Jukka K. Nurminen  ;University of Helsinki  ;Academy;Finland  ;Primary Study
SCP0046;Majid Haghparast  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0046;Tommi Mikkonen  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0046;Vlad Stirbu  ;University of Jyväskylä;Academy;Finland  ;Primary Study
SCP0047;Luis Jiménez-Navajas  ;aQuantum;Industry;Spain;Primary Study
SCP0047;Luis Jiménez-Navajas  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0047;Mario Piattini  ;aQuantum;Industry;Spain;Primary Study
SCP0047;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0047;Ricardo Pérez-Castillo  ;aQuantum;Industry;Spain;Primary Study
SCP0047;Ricardo Pérez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0051;Javier Verduro  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0051;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0051;Moises Rodriguez Monje;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0052;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0052;Michal Baczyk  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0052;Ricardo Pérez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0053;Edward Hermann Haeusler  ;Pontifícia Universidade Católica do Rio de Janeiro  ;Academy;Brazil  ;Primary Study
SCP0053;Lorenzo Saraiva  ;Pontifícia Universidade Católica do Rio de Janeiro  ;Academy;Brazil  ;Primary Study
SCP0053;Marcos Kalinowski  ;Pontifícia Universidade Católica do Rio de Janeiro  ;Academy;Brazil  ;Primary Study
SCP0053;Vaston Costa  ;Universidade Federal de Catalão  ;Academy;Brazil  ;Primary Study
SCP0054;Ignacio García-Rodríguez De Guzmán  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0054;Macario Polo Usaola  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0054;Manuel Ángel Serrano  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0054;Mario Piattini  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0056;Daniel Fortunato  ;University of Porto;Academy;Portugal  ;Primary Study
SCP0056;Jose Campos  ;Universidade de Lisboa;Academy;Portugal  ;Primary Study
SCP0056;Rui Abreu  ;University of Porto;Academy;Portugal  ;Primary Study
SCP0057;Guido Peterssen  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0057;Jose Luis Hevia  ;aQuantum;Industry;Spain;Primary Study
SCP0057;Mario Piattini  ;aQuantum;Industry;Spain;Primary Study
SCP0057;Mario Piattini  ;aQuantum;Industry;Spain;Primary Study
SCP0057;Ricardo Pérez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0057;Ricardo Pérez-Castillo  ;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0058;Aritra Sarkar  ;Delft University of Technology  ;Academy;Netherlands  ;Primary Study
SCP0058;Aritra Sarkar  ;QuTech;Industry;Netherlands  ;Primary Study
